Promedio_Notas,Asistencia_Pct,Tareas_Entregadas_Pct,Nivel_Participacion,Faltas_Disciplinarias,Nivel_Riesgo
5.3,59.2,61.0,Alta,0,Alto riesgo
,100.0,88.3,Media,0,Sin riesgo
5.2,50.2,51.0,Media,1,Alto riesgo
9.3,96.4,100.0,Alta,0,Sin riesgo
6.2,69.5,48.7,Alta,1,Alto riesgo
9.3,-25.0,100.0,Media,2,Sin riesgo
9.0,59.2,54.2,Baja,2,Alto riesgo
8.3,94.8,94.8,Media,0,Sin riesgo
9.5,86.6,96.7,Baja,1,Sin riesgo
10.0,90.5,100.0,Alta,1,Sin riesgo
6.5,74.7,82.3,Media,1,Medio riesgo
5.1,50.3,58.0,Media,0,Alto riesgo
7.0,96.0,99.5,Media,2,Medio riesgo
8.3,79.3,84.2,Media,0,Sin riesgo
9.1,90.3,79.2,Media,0,Sin riesgo
8.0,76.3,77.4,Alta,0,Medio riesgo
9.4,77.8,78.0,Baja,0,Sin riesgo
10.0,100.0,100.0,Media,0,Sin riesgo
7.7,100.0,100.0,Media,0,Medio riesgo
150.0,76.8,74.2,Media,0,Medio riesgo
4.8,79.8,79.5,Media,0,Alto riesgo
10.0,-25.0,83.5,Alta,1,Sin riesgo
,77.5,76.3,Media,0,Sin riesgo
8.6,98.4,100.0,Baja,2,Sin riesgo
5.2,55.8,67.1,Media,1,Alto riesgo
10.0,97.3,85.3,Alta,0,Sin riesgo
6.0,81.5,83.7,Media,0,Medio riesgo
4.3,53.1,35.4,Alta,2,Alto riesgo
150.0,100.0,100.0,Media,0,Sin riesgo
10.0,76.9,,Media,1,Sin riesgo
,97.6,91.1,Media,0,Sin riesgo
6.5,63.4,,Alta,0,Alto riesgo
9.8,88.4,61.1,Alta,0,Sin riesgo
8.5,71.6,73.7,Media,1,Sin riesgo
8.6,71.3,80.7,Alta,0,Sin riesgo
6.9,99.1,100.0,Media,1,Medio riesgo
7.8,78.8,79.8,Desconocido_X99,2,Medio riesgo
8.5,91.3,93.5,Media,1,Sin riesgo
6.3,74.6,63.5,Media,1,Medio riesgo
8.6,73.4,71.3,Alta,0,Sin riesgo
7.4,85.1,78.7,Media,0,Medio riesgo
7.8,83.4,88.7,Media,0,Medio riesgo
9.7,89.7,100.0,Media,1,Sin riesgo
8.2,85.4,,Alta,1,Sin riesgo
7.5,83.1,94.8,Baja,0,Medio riesgo
8.7,92.6,100.0,Media,0,Sin riesgo
,83.9,78.9,Alta,0,Alto riesgo
10.0,93.3,100.0,Media,1,Sin riesgo
10.0,82.6,85.2,Media,0,Sin riesgo
10.0,96.1,91.5,Media,1,Sin riesgo
8.6,76.9,87.5,Baja,0,Sin riesgo
7.0,93.6,93.7,Baja,1,Medio riesgo
6.7,61.7,77.5,Alta,0,Alto riesgo
9.4,79.9,86.5,Alta,0,Sin riesgo
6.0,93.0,97.8,Media,2,Alto riesgo
7.9,73.3,75.0,Media,0,Medio riesgo
6.6,86.7,92.6,Desconocido_X99,0,Medio riesgo
,82.4,94.9,Baja,2,Sin riesgo
8.7,98.9,94.3,Alta,1,Sin riesgo
8.0,95.5,100.0,Baja,1,Sin riesgo
7.3,72.1,64.7,Media,1,Medio riesgo
7.6,69.3,91.0,Media,2,Alto riesgo
7.7,55.4,48.1,Baja,0,Alto riesgo
7.5,59.1,61.6,Alta,1,Alto riesgo
150.0,88.3,100.0,Media,0,Sin riesgo
8.2,78.5,82.4,Alta,0,Sin riesgo
5.0,55.8,71.3,Alta,0,Alto riesgo
7.0,65.4,55.2,Alta,0,Alto riesgo
7.7,-25.0,56.7,Media,0,Medio riesgo
5.2,58.7,,Alta,0,Alto riesgo
7.1,82.1,67.1,Baja,3,Medio riesgo
150.0,99.3,100.0,Baja,0,Sin riesgo
6.7,92.6,100.0,Media,0,Medio riesgo
9.0,79.1,74.0,Alta,0,Sin riesgo
4.1,50.7,41.2,Alta,0,Alto riesgo
9.4,72.4,78.4,Media,0,Sin riesgo
8.7,91.0,72.3,Media,0,Sin riesgo
10.0,-25.0,89.7,Alta,1,Sin riesgo
8.8,92.9,92.6,Baja,1,Sin riesgo
8.7,78.1,,Alta,1,Sin riesgo
6.9,61.9,42.1,Alta,1,Alto riesgo
4.5,79.0,75.1,Alta,1,Alto riesgo
7.2,76.6,73.9,Media,2,Medio riesgo
10.0,71.9,,Media,0,Sin riesgo
8.3,88.2,89.2,Media,0,Sin riesgo
6.1,61.1,81.7,Baja,2,Alto riesgo
10.0,100.0,100.0,Media,0,Sin riesgo
9.3,79.6,95.6,Media,1,Sin riesgo
7.1,72.0,66.5,Alta,0,Medio riesgo
8.3,77.9,81.5,Media,0,Sin riesgo
8.9,84.4,87.3,Media,0,Sin riesgo
7.6,85.9,100.0,Media,0,Medio riesgo
7.3,81.7,78.5,Baja,1,Medio riesgo
7.5,72.5,63.0,Desconocido_X99,0,Medio riesgo
3.9,40.0,37.7,Media,0,Alto riesgo
7.7,93.2,89.8,Media,0,Medio riesgo
5.7,59.3,65.4,Media,0,Alto riesgo
6.7,78.7,77.9,Media,0,Medio riesgo
8.1,78.1,68.1,Media,1,Sin riesgo
6.0,79.1,75.6,Media,1,Medio riesgo
7.0,79.5,92.1,Baja,0,Medio riesgo
7.7,77.4,90.5,Alta,0,Medio riesgo
7.3,61.8,60.4,Media,0,Alto riesgo
150.0,87.8,73.8,Media,0,Sin riesgo
6.4,75.3,80.1,Alta,2,Medio riesgo
8.6,71.8,65.9,Alta,1,Sin riesgo
6.5,75.8,75.3,Media,3,Medio riesgo
8.9,100.0,100.0,Alta,0,Sin riesgo
10.0,82.1,75.3,Alta,0,Sin riesgo
9.6,94.1,93.1,Media,1,Sin riesgo
8.7,84.5,85.7,Alta,0,Sin riesgo
8.8,71.9,81.8,Media,1,Sin riesgo
8.5,88.6,100.0,Baja,2,Sin riesgo
5.7,66.3,57.0,Baja,0,Alto riesgo
5.5,86.5,78.0,Media,1,Alto riesgo
,73.2,74.3,Alta,0,Medio riesgo
6.5,76.7,77.8,Desconocido_X99,1,Medio riesgo
8.8,76.3,,Media,1,Sin riesgo
6.9,66.7,75.4,Alta,0,Alto riesgo
6.7,83.8,,Media,1,Medio riesgo
8.7,-25.0,98.9,Media,0,Sin riesgo
4.9,69.4,,Media,1,Alto riesgo
7.6,100.0,100.0,Baja,0,Medio riesgo
3.9,48.4,57.6,Media,0,Alto riesgo
6.9,67.8,68.9,Alta,1,Alto riesgo
10.0,100.0,100.0,Alta,0,Sin riesgo
6.4,58.4,,Alta,0,Alto riesgo
9.6,86.1,87.0,Media,0,Sin riesgo
9.3,100.0,98.4,Alta,1,Sin riesgo
8.6,98.6,98.1,Baja,0,Sin riesgo
7.7,77.0,71.1,Media,0,Medio riesgo
7.0,62.5,62.5,Media,0,Alto riesgo
150.0,78.3,75.2,Alta,1,Sin riesgo
8.8,-25.0,92.9,Baja,1,Sin riesgo
150.0,67.8,65.3,Alta,0,Alto riesgo
10.0,91.2,90.8,Baja,0,Sin riesgo
7.5,100.0,95.2,Media,3,Medio riesgo
7.7,84.8,68.6,Media,1,Medio riesgo
6.6,79.2,75.7,Desconocido_X99,0,Medio riesgo
4.9,67.1,49.8,Alta,1,Alto riesgo
8.8,82.9,86.0,Media,0,Sin riesgo
7.8,77.9,65.9,Media,0,Medio riesgo
10.0,97.9,97.2,Media,2,Sin riesgo
5.7,80.0,72.0,Baja,1,Alto riesgo
10.0,83.5,85.4,Media,0,Sin riesgo
,60.0,58.3,Alta,0,Alto riesgo
8.8,63.8,72.8,Baja,0,Alto riesgo
150.0,78.1,93.5,Media,0,Sin riesgo
7.4,89.3,94.9,Media,0,Medio riesgo
,72.6,81.5,Media,1,Medio riesgo
8.3,90.9,95.1,Baja,2,Sin riesgo
9.3,81.2,83.0,Baja,0,Sin riesgo
6.9,79.6,81.7,Baja,0,Medio riesgo
10.0,100.0,,Media,0,Sin riesgo
6.9,64.3,67.2,Media,0,Alto riesgo
5.9,72.0,86.7,Alta,1,Alto riesgo
7.3,83.8,94.0,Media,0,Medio riesgo
9.6,99.9,100.0,Media,0,Sin riesgo
8.6,100.0,100.0,Media,1,Sin riesgo
6.0,100.0,88.4,Baja,0,Alto riesgo
10.0,100.0,100.0,Baja,0,Sin riesgo
9.9,96.0,100.0,Baja,1,Sin riesgo
10.0,81.8,69.0,Media,0,Sin riesgo
7.8,93.9,100.0,Baja,1,Medio riesgo
6.8,73.8,80.8,Alta,0,Medio riesgo
9.8,75.1,91.8,Media,0,Sin riesgo
9.7,92.8,77.5,Media,0,Sin riesgo
10.0,96.1,99.4,Media,0,Sin riesgo
7.6,78.9,,Baja,0,Medio riesgo
9.1,74.0,70.3,Media,1,Sin riesgo
7.8,82.7,95.6,Alta,0,Medio riesgo
8.7,100.0,100.0,Alta,1,Sin riesgo
8.3,69.5,65.1,Baja,0,Alto riesgo
9.9,75.1,82.2,Desconocido_X99,0,Sin riesgo
6.1,71.7,72.9,Baja,0,Medio riesgo
6.3,78.9,91.2,Alta,1,Medio riesgo
7.4,85.4,82.0,Alta,0,Medio riesgo
5.2,77.0,79.7,Alta,0,Alto riesgo
7.1,94.6,96.5,Alta,0,Medio riesgo
6.3,69.2,54.4,Alta,0,Alto riesgo
8.7,88.0,83.6,Alta,0,Sin riesgo
7.7,100.0,100.0,Alta,0,Medio riesgo
10.0,100.0,92.8,Media,0,Sin riesgo
4.7,57.1,68.4,Media,0,Alto riesgo
7.3,54.5,78.6,Alta,0,Alto riesgo
10.0,84.9,100.0,Media,0,Sin riesgo
5.2,71.1,74.9,Media,0,Alto riesgo
5.9,57.8,55.0,Alta,0,Alto riesgo
5.9,76.6,79.4,Baja,1,Alto riesgo
10.0,100.0,100.0,Media,0,Sin riesgo
4.6,54.7,56.9,Media,0,Alto riesgo
6.4,70.8,65.3,Baja,0,Medio riesgo
,30.7,28.1,Media,0,Alto riesgo
9.6,100.0,94.2,Media,0,Sin riesgo
8.2,76.2,88.6,Alta,1,Sin riesgo
6.7,71.0,60.5,Baja,0,Medio riesgo
5.6,61.9,,Media,0,Alto riesgo
4.1,59.1,,Media,1,Alto riesgo
9.7,100.0,83.5,Baja,0,Sin riesgo
9.5,84.4,95.1,Media,0,Sin riesgo
5.2,78.1,70.4,Alta,0,Alto riesgo
7.2,78.9,61.3,Baja,0,Medio riesgo
6.0,88.1,91.3,Alta,1,Medio riesgo
6.3,78.4,83.0,Alta,1,Medio riesgo
8.4,77.9,75.6,Media,1,Sin riesgo
7.5,77.5,73.8,Media,0,Medio riesgo
7.6,-25.0,78.6,Media,1,Medio riesgo
7.6,80.8,84.1,Media,1,Medio riesgo
6.4,66.9,70.5,Media,0,Alto riesgo
5.7,-25.0,67.1,Media,0,Alto riesgo
5.5,76.1,80.5,Baja,1,Alto riesgo
8.6,-25.0,74.1,Media,0,Sin riesgo
10.0,-25.0,97.9,Media,1,Sin riesgo
4.6,61.9,67.0,Media,0,Alto riesgo
6.1,55.2,51.8,Baja,1,Alto riesgo
6.0,83.6,,Media,0,Medio riesgo
7.0,72.6,88.5,Alta,0,Medio riesgo
10.0,76.5,70.1,Alta,0,Sin riesgo
9.8,93.8,84.0,Media,0,Sin riesgo
9.7,92.4,89.0,Media,1,Sin riesgo
8.9,82.8,91.6,Desconocido_X99,1,Sin riesgo
5.0,52.3,50.8,Alta,1,Alto riesgo
7.3,75.4,78.9,Media,1,Medio riesgo
10.0,81.4,65.5,Alta,1,Sin riesgo
8.6,100.0,94.9,Desconocido_X99,0,Sin riesgo
8.6,96.2,83.6,Alta,1,Sin riesgo
9.4,80.0,60.1,Alta,0,Sin riesgo
5.8,79.2,72.8,Baja,0,Alto riesgo
9.9,72.2,,Alta,0,Sin riesgo
10.0,84.4,73.9,Media,1,Sin riesgo
6.6,80.6,69.3,Baja,2,Medio riesgo
8.0,-25.0,72.0,Media,0,Sin riesgo
7.0,86.6,87.7,Media,1,Medio riesgo
7.6,82.7,87.1,Baja,0,Medio riesgo
150.0,63.1,75.5,Media,1,Alto riesgo
7.2,85.1,76.9,Alta,0,Medio riesgo
6.2,69.0,78.8,Alta,0,Alto riesgo
9.6,66.7,55.6,Media,0,Alto riesgo
5.6,84.1,82.6,Media,1,Alto riesgo
6.2,83.9,82.9,Baja,0,Medio riesgo
8.5,75.7,75.1,Baja,1,Sin riesgo
7.3,80.7,85.1,Media,0,Medio riesgo
5.2,70.1,72.1,Media,0,Alto riesgo
6.7,56.9,54.5,Baja,0,Alto riesgo
5.9,70.6,52.4,Media,1,Alto riesgo
150.0,81.6,83.9,Media,2,Medio riesgo
10.0,91.2,84.4,Baja,0,Sin riesgo
8.4,100.0,100.0,Media,0,Sin riesgo
10.0,89.5,90.7,Desconocido_X99,1,Sin riesgo
4.7,51.2,42.3,Media,0,Alto riesgo
7.4,63.5,57.6,Media,0,Alto riesgo
6.1,91.0,82.2,Desconocido_X99,1,Medio riesgo
7.2,68.0,63.2,Alta,1,Alto riesgo
9.8,90.5,83.2,Media,1,Sin riesgo
8.9,90.3,94.3,Media,1,Sin riesgo
8.1,61.2,49.3,Media,1,Alto riesgo
7.7,79.5,85.3,Media,0,Medio riesgo
6.9,69.4,52.1,Media,0,Alto riesgo
,72.8,83.4,Baja,0,Alto riesgo
10.0,97.0,85.3,Baja,0,Sin riesgo
9.7,92.9,85.7,Baja,0,Sin riesgo
,73.9,67.9,Alta,1,Alto riesgo
4.4,55.6,44.1,Baja,0,Alto riesgo
10.0,97.2,88.9,Media,0,Sin riesgo
10.0,96.3,71.8,Media,1,Sin riesgo
7.6,70.5,86.0,Baja,1,Medio riesgo
10.0,86.0,83.3,Media,0,Sin riesgo
,89.7,85.6,Baja,1,Sin riesgo
8.6,77.5,100.0,Media,0,Sin riesgo
7.0,67.2,62.5,Media,1,Alto riesgo
4.7,55.6,60.0,Desconocido_X99,0,Alto riesgo
7.9,79.5,78.7,Media,0,Medio riesgo
9.0,85.2,76.2,Media,1,Sin riesgo
6.3,73.0,80.2,Alta,2,Medio riesgo
9.5,82.2,64.2,Media,1,Sin riesgo
6.6,-25.0,47.6,Media,0,Alto riesgo
7.3,64.3,62.4,Alta,1,Alto riesgo
8.3,66.8,59.3,Media,3,Alto riesgo
10.0,81.2,70.7,Alta,0,Sin riesgo
10.0,80.7,89.4,Media,1,Sin riesgo
5.7,67.8,55.2,Media,0,Alto riesgo
9.4,81.7,95.4,Alta,1,Sin riesgo
10.0,79.2,,Media,2,Sin riesgo
7.6,-25.0,77.6,Alta,1,Medio riesgo
6.7,81.2,78.9,Alta,1,Medio riesgo
6.3,76.6,74.5,Media,3,Medio riesgo
,65.0,67.1,Baja,0,Alto riesgo
7.6,95.6,85.4,Baja,1,Medio riesgo
5.6,75.1,66.7,Media,1,Alto riesgo
10.0,93.5,85.7,Media,0,Sin riesgo
8.6,85.0,97.1,Alta,0,Sin riesgo
7.4,90.4,83.7,Media,2,Medio riesgo
7.0,71.3,60.2,Alta,1,Medio riesgo
9.9,97.9,92.8,Media,1,Sin riesgo
4.6,73.5,89.1,Alta,0,Alto riesgo
4.2,52.4,52.0,Media,0,Alto riesgo
10.0,69.0,52.1,Alta,0,Alto riesgo
8.1,91.4,,Alta,0,Sin riesgo
9.2,86.6,88.6,Alta,0,Sin riesgo
8.7,68.1,50.3,Alta,0,Alto riesgo
9.8,100.0,100.0,Baja,0,Sin riesgo
9.4,92.5,79.1,Alta,0,Sin riesgo
6.6,65.1,71.8,Baja,0,Alto riesgo
9.1,75.9,72.7,Baja,1,Sin riesgo
8.9,96.4,84.7,Media,0,Sin riesgo
8.2,87.2,87.3,Media,2,Sin riesgo
7.3,61.1,66.5,Media,0,Alto riesgo
5.8,71.7,66.5,Media,2,Alto riesgo
5.7,47.2,54.5,Media,1,Alto riesgo
7.6,66.7,56.3,Media,0,Alto riesgo
9.9,97.9,92.1,Baja,0,Sin riesgo
10.0,91.5,87.3,Media,1,Sin riesgo
10.0,82.5,82.2,Alta,2,Sin riesgo
8.7,92.6,100.0,Baja,0,Sin riesgo
10.0,99.0,100.0,Alta,1,Sin riesgo
10.0,91.3,91.1,Media,0,Sin riesgo
10.0,100.0,93.9,Alta,0,Sin riesgo
8.8,58.5,63.8,Baja,0,Alto riesgo
4.8,71.6,,Alta,0,Alto riesgo
10.0,82.0,89.7,Media,0,Sin riesgo
9.3,68.4,65.5,Media,1,Alto riesgo
10.0,92.2,97.8,Baja,0,Sin riesgo
9.7,92.0,100.0,Alta,1,Sin riesgo
6.5,59.8,50.8,Alta,0,Alto riesgo
10.0,96.5,100.0,Alta,0,Sin riesgo
6.9,75.3,69.8,Media,2,Medio riesgo
8.7,80.1,70.6,Baja,0,Sin riesgo
9.8,82.7,76.9,Media,0,Sin riesgo
7.6,80.1,83.7,Alta,2,Medio riesgo
7.6,85.0,95.7,Media,1,Medio riesgo
150.0,72.4,81.4,Baja,1,Sin riesgo
10.0,97.9,94.4,Media,1,Sin riesgo
9.3,84.4,88.7,Media,0,Sin riesgo
6.3,82.3,74.4,Baja,0,Medio riesgo
8.0,73.1,71.6,Alta,0,Sin riesgo
7.1,79.1,83.2,Media,0,Medio riesgo
9.6,87.7,90.2,Alta,0,Sin riesgo
6.1,75.8,86.4,Alta,1,Medio riesgo
10.0,80.3,71.4,Alta,0,Sin riesgo
10.0,95.9,92.1,Baja,0,Sin riesgo
9.8,80.0,89.3,Media,3,Sin riesgo
7.8,87.3,99.6,Media,0,Medio riesgo
6.0,78.8,99.4,Media,0,Alto riesgo
10.0,89.8,100.0,Alta,0,Sin riesgo
150.0,84.5,91.3,Alta,0,Medio riesgo
8.2,67.4,71.5,Media,0,Alto riesgo
6.8,75.8,87.7,Media,0,Medio riesgo
6.9,71.7,66.6,Alta,0,Medio riesgo
8.3,82.6,68.5,Desconocido_X99,1,Sin riesgo
9.8,97.8,100.0,Alta,0,Sin riesgo
9.6,83.6,77.1,Media,2,Sin riesgo
9.3,85.1,91.0,Baja,2,Sin riesgo
9.7,78.2,66.5,Media,0,Sin riesgo
8.9,86.8,76.4,Media,1,Sin riesgo
3.7,65.7,81.7,Desconocido_X99,0,Alto riesgo
7.8,83.1,97.9,Baja,0,Medio riesgo
7.0,64.4,60.3,Media,1,Alto riesgo
4.9,63.7,58.2,Baja,2,Alto riesgo
8.5,83.8,90.0,Media,0,Sin riesgo
9.2,79.8,,Baja,0,Sin riesgo
4.4,66.5,68.0,Baja,0,Alto riesgo
